word,tfidf,tf
syz_open_dev ioctl ioctl,2.2740348234564096,2.0866019949484094
syz_init_net_socket connect,2.2653771125801483,2.5007941749734823
open ioctl,2.2570805890744117,2.398313470622717
syz_init_net_socket syz_genetlink_get_family_id sendmsg,2.2365013273673053,2.2473114587034866
socket sendmmsg,2.1858338388250553,2.0477757014975326
socket socket ioctl sendmsg,2.180048033119413,1.8983045628890611
socket ioctl bind,2.118800580195423,2.2007509526152242
syz_mount_image creat,2.1063371990580917,2.2877580388012277
bind setsockopt,2.0981780185502803,2.1533306538782604
connect sendto,2.095950887975853,2.129167301853843
syz_open_dev ioctl syz_open_dev ioctl,2.0907872686433713,1.776039802225196
openat mmap,2.075312433214578,2.463911727832418
syz_open_dev dup,2.070558065009524,2.3430898015215087
openat mount,2.0662688768279582,2.4182071858007954
socket socket setsockopt,2.0108558087590147,2.1506534128868386
syz_mount_image mknod,2.0,2.0
ioctl openat ioctl,1.9990294319715143,1.8102092283251987
openat socket,1.9866351876533457,2.3371848145460294
open open,1.9553635381920895,2.415832600624736
syz_mount_image ioctl,1.9535307864630882,1.910683602522959
socket bind connect,1.945694045752765,1.984824526777434
syz_usb_connect syz_open_dev,1.9420206597441532,1.9711971193069777
connect setsockopt setsockopt,1.9382763473602613,2.0314262102749594
socket setsockopt socket,1.9280464435164737,1.9086935626666086
ioctl bpf,1.919274197591455,1.9454244992967977
setsockopt write,1.918444060701007,1.851552835657868
write mmap,1.9176166133192103,2.245566697580151
ioctl ioctl write,1.9123845958905492,1.7735268982118364
mmap bpf,1.9019317827489106,1.8213672050459182
socket getsockname sendmsg,1.891834696183567,1.8162403584801212
socket setsockopt connect,1.8890049629407284,2.02834022378957
socketpair ioctl,1.883548268007635,2.0878814265430696
socket ioctl ioctl,1.8404781578143317,1.8966384496741635
sendmsg sendmmsg,1.838011482405554,1.6789925209000904
socket openat,1.8095251382724657,1.9951425272318455
write write write,1.8092650882761867,1.7942927281646386
sendmsg syz_emit_ethernet,1.7879758336355458,1.6329931618554523
mmap openat ioctl,1.786411656346569,1.5760700296227674
openat openat write,1.7648721353830572,1.847737698924257
socket socket getsockname sendmsg,1.7633736613130764,1.651841371174764
socket socket getsockname,1.7633736613130764,1.651841371174764
sendmsg bpf,1.7573565517765004,1.775334296958913
ioctl socket ioctl,1.755099810585224,1.5118255016642368
syz_emit_ethernet socket,1.7550108951483059,1.6994165914630037
mount read,1.7503542831212566,2.0099588953369323
openat mount read,1.7503542831212566,2.0099588953369323
mount mount,1.7474469862217457,1.7843837228782722
syz_genetlink_get_family_id socket,1.7396031095205893,1.632999172360906
write openat,1.7369060088595842,1.9502699833013122
sendto setsockopt,1.7333223511083757,1.8926158931784278
openat ioctl socket,1.7312102249178665,1.7495947621830588
syz_mount_image open ioctl,1.6997083359773366,1.5653372732309363
dup ioctl,1.6944902594489775,1.7732469178721673
bpf ioctl,1.6881176089685759,1.7936865825574648
syz_init_net_socket ioctl,1.686317141743038,1.7553884383990486
setsockopt ioctl,1.6564111413811564,1.8356302460340352
connect listen,1.6497825942317785,1.8785662205896936
syz_init_net_socket syz_init_net_socket,1.6435448987304302,1.660257713334943
setsockopt connect setsockopt,1.6136143473598097,1.6107098986983694
sendmsg sendmsg socket sendmsg,1.6121345134156537,1.294813735464159
socket fcntl,1.592956929548112,1.6921580169445165
openat ioctl openat,1.5865789534713195,1.5125161241834064
mmap syz_emit_ethernet,1.5813153319966629,1.5915322230804945
getsockname sendmsg sendmsg socket,1.5792138018903248,1.314263918734023
bind socket bind,1.5735672653269726,1.2844570503761732
ptrace ptrace,1.5727828502728114,1.8257798160896512
socket bind setsockopt,1.566851119106024,1.4786508488257317
bind listen,1.562458573813755,1.7702619232773955
syz_io_uring_setup syz_memcpy_off,1.5365917353500296,1.7601952288949723
connect write,1.508441955650586,1.393846850117352
socket connect write,1.508441955650586,1.393846850117352
syz_kvm_setup_cpu ioctl ioctl ioctl,1.4977231218012497,1.0681818142796828
syz_genetlink_get_family_id socket ioctl sendmsg,1.4934393979606617,1.344324037766093
syz_genetlink_get_family_id socket ioctl,1.4934393979606617,1.344324037766093
socket syz_genetlink_get_family_id socket,1.4934393979606617,1.344324037766093
socket syz_genetlink_get_family_id socket ioctl,1.4934393979606617,1.344324037766093
creat mount,1.4880430597012841,1.5372762038786787
openat ioctl ioctl write,1.4630656889640004,1.2266528738698623
connect sendmsg,1.4591659332971125,1.4254249652809363
syz_init_net_socket syz_init_net_socket syz_genetlink_get_family_id,1.4506398407083698,1.451743299277868
setsockopt syz_emit_ethernet,1.4446250271547876,1.4510124461906337
openat write mmap,1.4444898730950688,1.5789000309134844
mmap socket sendmsg syz_emit_ethernet,1.4360987863898438,1.2247448713915892
socket sendmsg syz_emit_ethernet,1.4360987863898438,1.2247448713915892
socket setsockopt write,1.4325353878689318,1.274273694248302
syz_io_uring_setup socket,1.42450962605156,1.5948241213163423
close socket,1.4213965368517012,1.5921189227057977
openat perf_event_open,1.419403994217603,1.56261020126433
ioctl setsockopt,1.4048630491320795,1.4862073590518516
socket sendmsg bpf,1.3992096615202234,1.2883674392523627
syz_mount_image setxattr,1.3754987172483832,1.393846850117352
syz_mount_image setxattr setxattr,1.3754987172483832,1.393846850117352
setxattr setxattr,1.3754987172483832,1.393846850117352
sendmsg ioctl,1.3714373875814347,1.4371980650285772
socket connect sendto,1.3699705367380806,1.284352447336687
userfaultfd ioctl,1.3639867069933664,1.3668873981693694
ioctl sendmsg socket,1.3626578489824097,1.2844617961984899
socket bind listen,1.352880799676701,1.5120630335302345
mmap bpf bpf,1.3445192087700413,1.1547005383792517
setsockopt socket setsockopt,1.3300225508465877,1.2740142091297038
sendmsg socket socket,1.326943897930116,1.2929795686731802
mmap syz_open_dev write,1.3234161911992839,1.1547005383792517
ioctl sendmsg sendmsg,1.3219584448726611,1.1321184965581166
syz_genetlink_get_family_id ioctl sendmsg sendmsg,1.3219584448726611,1.1321184965581166
socket dup,1.3176910591825346,1.3508166735174356
bpf openat,1.3169826108363811,1.3677467458741137
socket setsockopt connect setsockopt,1.3149761025985183,1.268007559058227
setsockopt connect setsockopt setsockopt,1.3052824898691853,1.2455615270282587
setsockopt sendmmsg,1.2986888109996089,1.3424421837675922
syz_init_net_socket syz_init_net_socket syz_genetlink_get_family_id sendmsg,1.293582900466012,1.2432288852207933
sendmsg sendmsg sendmsg,1.2935727568247049,1.1251545838136
open mmap,1.2898688056587495,1.4490616767175704
syz_kvm_setup_cpu syz_kvm_setup_cpu,1.2846559688791181,1.1674332807364465
ioctl syz_kvm_setup_cpu syz_kvm_setup_cpu,1.2846559688791181,1.1674332807364465
socket connect sendmsg,1.2804176073383648,1.1897227048854204
ioctl mmap,1.2797945505874815,1.3383547765928268
socketpair sendmsg,1.278643754414937,1.282842712474619
socket bind socket,1.278403873021237,1.1752514604034248
openat mkdir,1.274727295497929,1.1547005383792517
openat mkdir mount,1.274727295497929,1.1547005383792517
mmap socket socket,1.2713135058842076,1.1540605794893493
socket setsockopt bind,1.2704585048435089,1.3197014300407524
socket socket connect,1.2692543221543438,1.1903849121970964
mkdir mount mount,1.266903063205837,1.199358737117772
fsconfig fsconfig,1.2657436454485853,1.3277124306371086
getsockname socket,1.2545798126217984,1.209422341457033
syz_usb_connect syz_open_dev write,1.253210237045311,1.1547005383792517
ioctl perf_event_open,1.2448309018188897,1.3082878329397047
sendmsg openat,1.2229179417410256,1.1462979118693255
